nidada	tratamiento	tratamiento_desc	huevo	eclosiono	total_nidada_tratamiento	eclosionados_nidada_tratamiento
2	2	Solo_CO2_removido	10	0	13	0
2	2	Solo_CO2_removido	11	0	13	0
2	2	Solo_CO2_removido	12	0	13	0
2	2	Solo_CO2_removido	13	0	13	0
2	3	Ninguno_removido	1	0	13	0
2	3	Ninguno_removido	2	0	13	0
2	3	Ninguno_removido	3	0	13	0
2	3	Ninguno_removido	4	0	13	0
2	3	Ninguno_removido	5	0	13	0
2	3	Ninguno_removido	6	0	13	0
2	3	Ninguno_removido	7	0	13	0
2	3	Ninguno_removido	8	0	13	0
2	3	Ninguno_removido	9	0	13	0
2	3	Ninguno_removido	10	0	13	0
2	3	Ninguno_removido	11	0	13	0
2	3	Ninguno_removido	12	0	13	0
2	3	Ninguno_removido	13	0	13	0
3	1	CO2_y_O2_removidos	1	0	10	0
3	1	CO2_y_O2_removidos	2	0	10	0
3	1	CO2_y_O2_removidos	3	0	10	0
3	1	CO2_y_O2_removidos	4	0	10	0
3	1	CO2_y_O2_removidos	5	0	10	0
3	1	CO2_y_O2_removidos	6	0	10	0
3	1	CO2_y_O2_removidos	7	0	10	0
3	1	CO2_y_O2_removidos	8	0	10	0
3	1	CO2_y_O2_removidos	9	0	10	0
3	1	CO2_y_O2_removidos	10	0	10	0
3	2	Solo_CO2_removido	1	1	10	8
3	2	Solo_CO2_removido	2	1	10	8
3	2	Solo_CO2_removido	3	1	10	8
3	2	Solo_CO2_removido	4	1	10	8
3	2	Solo_CO2_removido	5	1	10	8
3	2	Solo_CO2_removido	6	1	10	8
3	2	Solo_CO2_removido	7	1	10	8
3	2	Solo_CO2_removido	8	1	10	8
3	2	Solo_CO2_removido	9	0	10	8
3	2	Solo_CO2_removido	10	0	10	8
3	3	Ninguno_removido	1	1	9	6
3	3	Ninguno_removido	2	1	9	6
3	3	Ninguno_removido	3	1	9	6
3	3	Ninguno_removido	4	1	9	6
3	3	Ninguno_removido	5	1	9	6
3	3	Ninguno_removido	6	1	9	6
3	3	Ninguno_removido	7	0	9	6
3	3	Ninguno_removido	8	0	9	6
3	3	Ninguno_removido	9	0	9	6
4	1	CO2_y_O2_removidos	1	0	16	0
4	1	CO2_y_O2_removidos	2	0	16	0
4	1	CO2_y_O2_removidos	3	0	16	0
4	1	CO2_y_O2_removidos	4	0	16	0
4	1	CO2_y_O2_removidos	5	0	16	0
4	1	CO2_y_O2_removidos	6	0	16	0
4	1	CO2_y_O2_removidos	7	0	16	0
4	1	CO2_y_O2_removidos	8	0	16	0
4	1	CO2_y_O2_removidos	9	0	16	0
4	1	CO2_y_O2_removidos	10	0	16	0
4	1	CO2_y_O2_removidos	11	0	16	0
4	1	CO2_y_O2_removidos	12	0	16	0
4	1	CO2_y_O2_removidos	13	0	16	0
4	1	CO2_y_O2_removidos	14	0	16	0
4	1	CO2_y_O2_removidos	15	0	16	0
4	1	CO2_y_O2_removidos	16	0	16	0
4	2	Solo_CO2_removido	1	1	16	10
4	2	Solo_CO2_removido	2	1	16	10
4	2	Solo_CO2_removido	3	1	16	10
4	2	Solo_CO2_removido	4	1	16	10
4	2	Solo_CO2_removido	5	1	16	10
4	2	Solo_CO2_removido	6	1	16	10
4	2	Solo_CO2_removido	7	1	16	10
4	2	Solo_CO2_removido	8	1	16	10
4	2	Solo_CO2_removido	9	1	16	10
4	2	Solo_CO2_removido	10	1	16	10
4	2	Solo_CO2_removido	11	0	16	10
4	2	Solo_CO2_removido	12	0	16	10
4	2	Solo_CO2_removido	13	0	16	10
4	2	Solo_CO2_removido	14	0	16	10
4	2	Solo_CO2_removido	15	0	16	10
4	2	Solo_CO2_removido	16	0	16	10
4	3	Ninguno_removido	1	1	16	9
4	3	Ninguno_removido	2	1	16	9
4	3	Ninguno_removido	3	1	16	9
4	3	Ninguno_removido	4	1	16	9
4	3	Ninguno_removido	5	1	16	9
4	3	Ninguno_removido	6	1	16	9
4	3	Ninguno_removido	7	1	16	9
4	3	Ninguno_removido	8	1	16	9
4	3	Ninguno_removido	9	1	16	9
4	3	Ninguno_removido	10	0	16	9
4	3	Ninguno_removido	11	0	16	9
4	3	Ninguno_removido	12	0	16	9
4	3	Ninguno_removido	13	0	16	9
4	3	Ninguno_removido	14	0	16	9
4	3	Ninguno_removido	15	0	16	9
4	3	Ninguno_removido	16	0	16	9
5	1	CO2_y_O2_removidos	1	0	32	0
5	1	CO2_y_O2_removidos	2	0	32	0
5	1	CO2_y_O2_removidos	3	0	32	0
5	1	CO2_y_O2_removidos	4	0	32	0
5	1	CO2_y_O2_removidos	5	0	32	0
5	1	CO2_y_O2_removidos	6	0	32	0
5	1	CO2_y_O2_removidos	7	0	32	0
5	1	CO2_y_O2_removidos	8	0	32	0
5	1	CO2_y_O2_removidos	9	0	32	0
5	1	CO2_y_O2_removidos	10	0	32	0
5	1	CO2_y_O2_removidos	11	0	32	0
5	1	CO2_y_O2_removidos	12	0	32	0
5	1	CO2_y_O2_removidos	13	0	32	0
5	1	CO2_y_O2_removidos	14	0	32	0
5	1	CO2_y_O2_removidos	15	0	32	0
5	1	CO2_y_O2_removidos	16	0	32	0
5	1	CO2_y_O2_removidos	17	0	32	0
5	1	CO2_y_O2_removidos	18	0	32	0
5	1	CO2_y_O2_removidos	19	0	32	0
5	1	CO2_y_O2_removidos	20	0	32	0
5	1	CO2_y_O2_removidos	21	0	32	0
5	1	CO2_y_O2_removidos	22	0	32	0
5	1	CO2_y_O2_removidos	23	0	32	0
5	1	CO2_y_O2_removidos	24	0	32	0
5	1	CO2_y_O2_removidos	25	0	32	0
5	1	CO2_y_O2_removidos	26	0	32	0
5	1	CO2_y_O2_removidos	27	0	32	0
5	1	CO2_y_O2_removidos	28	0	32	0
5	1	CO2_y_O2_removidos	29	0	32	0
5	1	CO2_y_O2_removidos	30	0	32	0
5	1	CO2_y_O2_removidos	31	0	32	0
5	1	CO2_y_O2_removidos	32	0	32	0
5	2	Solo_CO2_removido	1	1	28	25
5	2	Solo_CO2_removido	2	1	28	25
5	2	Solo_CO2_removido	3	1	28	25
5	2	Solo_CO2_removido	4	1	28	25
5	2	Solo_CO2_removido	5	1	28	25
5	2	Solo_CO2_removido	6	1	28	25
5	2	Solo_CO2_removido	7	1	28	25
5	2	Solo_CO2_removido	8	1	28	25
5	2	Solo_CO2_removido	9	1	28	25
5	2	Solo_CO2_removido	10	1	28	25
5	2	Solo_CO2_removido	11	1	28	25
5	2	Solo_CO2_removido	12	1	28	25
5	2	Solo_CO2_removido	13	1	28	25
5	2	Solo_CO2_removido	14	1	28	25
5	2	Solo_CO2_removido	15	1	28	25
5	2	Solo_CO2_removido	16	1	28	25
5	2	Solo_CO2_removido	17	1	28	25
5	2	Solo_CO2_removido	18	1	28	25
5	2	Solo_CO2_removido	19	1	28	25
5	2	Solo_CO2_removido	20	1	28	25
5	2	Solo_CO2_removido	21	1	28	25
5	2	Solo_CO2_removido	22	1	28	25
5	2	Solo_CO2_removido	23	1	28	25
5	2	Solo_CO2_removido	24	1	28	25
5	2	Solo_CO2_removido	25	1	28	25
5	2	Solo_CO2_removido	26	0	28	25
5	2	Solo_CO2_removido	27	0	28	25
5	2	Solo_CO2_removido	28	0	28	25
5	3	Ninguno_removido	1	1	30	23
5	3	Ninguno_removido	2	1	30	23
5	3	Ninguno_removido	3	1	30	23
5	3	Ninguno_removido	4	1	30	23
5	3	Ninguno_removido	5	1	30	23
5	3	Ninguno_removido	6	1	30	23
5	3	Ninguno_removido	7	1	30	23
5	3	Ninguno_removido	8	1	30	23
5	3	Ninguno_removido	9	1	30	23
5	3	Ninguno_removido	10	1	30	23
5	3	Ninguno_removido	11	1	30	23
5	3	Ninguno_removido	12	1	30	23
5	3	Ninguno_removido	13	1	30	23
5	3	Ninguno_removido	14	1	30	23
5	3	Ninguno_removido	15	1	30	23
5	3	Ninguno_removido	16	1	30	23
5	3	Ninguno_removido	17	1	30	23
5	3	Ninguno_removido	18	1	30	23
5	3	Ninguno_removido	19	1	30	23
5	3	Ninguno_removido	20	1	30	23
5	3	Ninguno_removido	21	1	30	23
5	3	Ninguno_removido	22	1	30	23
5	3	Ninguno_removido	23	1	30	23
5	3	Ninguno_removido	24	0	30	23
5	3	Ninguno_removido	25	0	30	23
5	3	Ninguno_removido	26	0	30	23
5	3	Ninguno_removido	27	0	30	23
5	3	Ninguno_removido	28	0	30	23
5	3	Ninguno_removido	29	0	30	23
5	3	Ninguno_removido	30	0	30	23
6	1	CO2_y_O2_removidos	1	0	7	0
6	1	CO2_y_O2_removidos	2	0	7	0
6	1	CO2_y_O2_removidos	3	0	7	0
6	1	CO2_y_O2_removidos	4	0	7	0
6	1	CO2_y_O2_removidos	5	0	7	0
6	1	CO2_y_O2_removidos	6	0	7	0
6	1	CO2_y_O2_removidos	7	0	7	0
6	2	Solo_CO2_removido	1	1	7	7
6	2	Solo_CO2_removido	2	1	7	7
6	2	Solo_CO2_removido	3	1	7	7
6	2	Solo_CO2_removido	4	1	7	7
6	2	Solo_CO2_removido	5	1	7	7
6	2	Solo_CO2_removido	6	1	7	7
6	2	Solo_CO2_removido	7	1	7	7
6	3	Ninguno_removido	1	1	7	5
6	3	Ninguno_removido	2	1	7	5
6	3	Ninguno_removido	3	1	7	5
6	3	Ninguno_removido	4	1	7	5
6	3	Ninguno_removido	5	1	7	5
6	3	Ninguno_removido	6	0	7	5
6	3	Ninguno_removido	7	0	7	5
7	1	CO2_y_O2_removidos	1	0	21	0
7	1	CO2_y_O2_removidos	2	0	21	0
7	1	CO2_y_O2_removidos	3	0	21	0
7	1	CO2_y_O2_removidos	4	0	21	0
7	1	CO2_y_O2_removidos	5	0	21	0
7	1	CO2_y_O2_removidos	6	0	21	0
7	1	CO2_y_O2_removidos	7	0	21	0
7	1	CO2_y_O2_removidos	8	0	21	0
7	1	CO2_y_O2_removidos	9	0	21	0
7	1	CO2_y_O2_removidos	10	0	21	0
7	1	CO2_y_O2_removidos	11	0	21	0
7	1	CO2_y_O2_removidos	12	0	21	0
7	1	CO2_y_O2_removidos	13	0	21	0
7	1	CO2_y_O2_removidos	14	0	21	0
7	1	CO2_y_O2_removidos	15	0	21	0
7	1	CO2_y_O2_removidos	16	0	21	0
7	1	CO2_y_O2_removidos	17	0	21	0
7	1	CO2_y_O2_removidos	18	0	21	0
7	1	CO2_y_O2_removidos	19	0	21	0
7	1	CO2_y_O2_removidos	20	0	21	0
7	1	CO2_y_O2_removidos	21	0	21	0
7	2	Solo_CO2_removido	1	1	20	10
7	2	Solo_CO2_removido	2	1	20	10
7	2	Solo_CO2_removido	3	1	20	10
7	2	Solo_CO2_removido	4	1	20	10
7	2	Solo_CO2_removido	5	1	20	10
7	2	Solo_CO2_removido	6	1	20	10
7	2	Solo_CO2_removido	7	1	20	10
7	2	Solo_CO2_removido	8	1	20	10
7	2	Solo_CO2_removido	9	1	20	10
7	2	Solo_CO2_removido	10	1	20	10
7	2	Solo_CO2_removido	11	0	20	10
7	2	Solo_CO2_removido	12	0	20	10
7	2	Solo_CO2_removido	13	0	20	10
7	2	Solo_CO2_removido	14	0	20	10
7	2	Solo_CO2_removido	15	0	20	10
7	2	Solo_CO2_removido	16	0	20	10
7	2	Solo_CO2_removido	17	0	20	10
7	2	Solo_CO2_removido	18	0	20	10
7	2	Solo_CO2_removido	19	0	20	10
7	2	Solo_CO2_removido	20	0	20	10
7	3	Ninguno_removido	1	1	20	4
7	3	Ninguno_removido	2	1	20	4
7	3	Ninguno_removido	3	1	20	4
7	3	Ninguno_removido	4	1	20	4
7	3	Ninguno_removido	5	0	20	4
7	3	Ninguno_removido	6	0	20	4
7	3	Ninguno_removido	7	0	20	4
7	3	Ninguno_removido	8	0	20	4
7	3	Ninguno_removido	9	0	20	4
7	3	Ninguno_removido	10	0	20	4
7	3	Ninguno_removido	11	0	20	4
7	3	Ninguno_removido	12	0	20	4
7	3	Ninguno_removido	13	0	20	4
7	3	Ninguno_removido	14	0	20	4
7	3	Ninguno_removido	15	0	20	4
7	3	Ninguno_removido	16	0	20	4
7	3	Ninguno_removido	17	0	20	4
7	3	Ninguno_removido	18	0	20	4
7	3	Ninguno_removido	19	0	20	4
7	3	Ninguno_removido	20	0	20	4
